,log2FoldChange,gene_id,gene_name
ENSG00000050438,-1.84009856584424,ENSG00000050438,SLC4A8
ENSG00000050730,-1.98137343661728,ENSG00000050730,TNIP3
ENSG00000072041,-1.43849874148902,ENSG00000072041,SLC6A15
ENSG00000078814,-1.62084417584407,ENSG00000078814,MYH7B
ENSG00000081138,-1.11273823497073,ENSG00000081138,CDH7
ENSG00000083067,-2.03171616251759,ENSG00000083067,TRPM3
ENSG00000091536,-1.71259801115579,ENSG00000091536,MYO15A
ENSG00000092445,-1.52818691307426,ENSG00000092445,TYRO3
ENSG00000094661,-1.42604104833029,ENSG00000094661,OR1I1
ENSG00000104970,-1.68172343739029,ENSG00000104970,KIR3DX1
ENSG00000106477,-1.23320411987999,ENSG00000106477,CEP41
ENSG00000109684,-1.7734982652475,ENSG00000109684,CLNK
ENSG00000110436,-1.699538110566,ENSG00000110436,SLC1A2
ENSG00000111732,-1.7594160155782,ENSG00000111732,AICDA
ENSG00000118197,-1.64738695591903,ENSG00000118197,DDX59
ENSG00000119703,-1.75212914376666,ENSG00000119703,ZC2HC1C
ENSG00000121207,-1.66097783261412,ENSG00000121207,LRAT
ENSG00000124493,-1.77169300735053,ENSG00000124493,GRM4
ENSG00000126091,-1.76946888822171,ENSG00000126091,ST3GAL3
ENSG00000131914,-1.74320414962728,ENSG00000131914,LIN28A
ENSG00000132854,-1.85012290035998,ENSG00000132854,KANK4
ENSG00000132938,-2.36678958897437,ENSG00000132938,MTUS2
ENSG00000133640,-1.6000158441483,ENSG00000133640,LRRIQ1
ENSG00000134548,-1.04380504566819,ENSG00000134548,SPX
ENSG00000134757,-1.51289155843986,ENSG00000134757,DSG3
ENSG00000136928,-1.38118939387327,ENSG00000136928,TCN1
ENSG00000137720,-1.47775053361292,ENSG00000137720,GABBR2
ENSG00000138347,-1.48076518571054,ENSG00000138347,C11orf1
ENSG00000138741,-1.47165777712005,ENSG00000138741,MYPN
ENSG00000140323,-1.67388427539323,ENSG00000140323,TRPC3
ENSG00000140795,-1.68421993790934,ENSG00000140795,DISP2
ENSG00000145936,-1.60375678518237,ENSG00000145936,MYLK3
ENSG00000149926,-1.3381252906147,ENSG00000149926,KCNMB1
ENSG00000150656,-1.60063573666262,ENSG00000150656,TLCD3B
ENSG00000152348,-1.61068808355546,ENSG00000152348,CNDP1
ENSG00000152463,-1.56389601177166,ENSG00000152463,ATG10
ENSG00000154997,-1.40763889431034,ENSG00000154997,OLAH
ENSG00000158023,-2.46365397863911,ENSG00000158023,SEPTIN14
ENSG00000161082,-1.73789145111872,ENSG00000161082,CFAP251
ENSG00000161149,-1.64485661766744,ENSG00000161149,CELF5
ENSG00000161929,-1.64223218240394,ENSG00000161929,TUBA3FP
ENSG00000162490,-1.81208219465719,ENSG00000162490,SCIMP
ENSG00000163288,-1.57422444680527,ENSG00000163288,DRAXIN
ENSG00000163793,-1.06007396104669,ENSG00000163793,GABRB1
ENSG00000164591,-1.78091695479677,ENSG00000164591,DNAJC5G
ENSG00000165186,-1.68495674093954,ENSG00000165186,MYOZ3
ENSG00000165409,-1.38020083501418,ENSG00000165409,PTCHD1
